username,role,timestamp,action
XF6N0R4,unknown,2025-05-12T15:17:34.827746,login_failure
"W3PHXNA
",unknown,2025-05-12T15:17:53.371530,login_failure
XF6N0R4,admin,2025-05-12T15:21:25.877218,login_success
XF6N0R4,admin,2025-05-12T15:21:36.913671,count_visits None
KX9UDNG,clinician,2025-05-12T15:23:06.775420,login_success
XF6N0R4,admin,2025-05-12T22:20:53.782239,login_success
XF6N0R4,admin,2025-05-12T22:21:45.716444,count_visits 2011-13-7
KX9UDNG,clinician,2025-05-12T22:23:50.401344,login_success
KX9UDNG,clinician,2025-05-12T22:31:42.329904,login_success
KX9UDNG,clinician,2025-05-12T22:35:22.337942,login_success
KX9UDNG,clinician,2025-05-12T22:36:51.133549,login_success
KX9UDNG,clinician,2025-05-12T22:37:13.264354,view_note 79711 958097
W3PHXNA,nurse,2025-05-12T22:41:41.968890,login_success
XF6N0R4,admin,2025-05-12T22:44:21.149132,login_success
XF6N0R4,admin,2025-05-12T22:44:27.008834,count_visits 2011-07-13
W3PHXNA,nurse,2025-05-12T22:44:46.297479,login_success
W3PHXNA,nurse,2025-05-12T22:44:54.802380,retrieve_patient 16755
W3PHXNA,nurse,2025-05-12T22:45:10.277155,count_visits 2011-07-13
W3PHXNA,nurse,2025-05-15T12:11:40.933053,login_success
W3PHXNA,nurse,2025-05-15T12:11:47.255202,count_visits 2011-07-13
W3PHXNA,nurse,2025-05-15T12:13:31.564506,login_success
W3PHXNA,nurse,2025-05-15T12:13:36.535748,count_visits 2011-07-13
W3PHXNA,nurse,2025-05-15T12:16:22.212126,login_success
W3PHXNA,nurse,2025-05-15T12:16:27.004425,count_visits 2011-07-13
W3PHXNA,nurse,2025-05-15T12:18:06.062979,login_success
W3PHXNA,nurse,2025-05-15T12:18:11.640064,count_visits 2011-07-13
W3PHXNA,nurse,2025-05-15T12:18:17.889378,count_visits 2011-07-13
W3PHXNA,nurse,2025-05-15T12:52:44.664348,login_success
W3PHXNA,nurse,2025-05-15T12:52:50.934647,count_visits 2011-07-13
W3PHXNA,nurse,2025-05-15T13:06:24.801554,remove_patient 
W3PHXNA,nurse,2025-05-15T13:06:42.828229,login_success
W3PHXNA,nurse,2025-05-15T13:06:47.085517,remove_patient 16755
W3PHXNA,nurse,2025-05-15T13:11:56.427191,login_success
W3PHXNA,nurse,2025-05-15T13:17:23.342004,login_success
W3PHXNA,nurse,2025-05-15T13:17:28.315546,count_visits 2011-07-13
W3PHXNA,nurse,2025-05-15T13:18:52.742429,login_success
W3PHXNA,nurse,2025-05-15T13:18:57.564447,count_visits 2011-07-13
W3PHXNA,nurse,2025-05-16T19:30:13.879800,login_success
W3PHXNA,nurse,2025-05-16T19:30:20.799577,remove_patient 16755
W3PHXNA,nurse,2025-05-18T23:09:10.966288,login_success
W3PHXNA,nurse,2025-05-18T23:09:20.890699,count_visits 2011-07-13
W3PHXNA,nurse,2025-05-18T23:14:13.148764,login_success
W3PHXNA,nurse,2025-05-18T23:14:18.501406,count_visits 2011-07-13
W3PHXNA,nurse,2025-05-18T23:16:22.358311,login_success
W3PHXNA,nurse,2025-05-18T23:16:28.088146,count_visits 2011-07-13
W3PHXNA,nurse,2025-05-18T23:17:40.833529,count_visits 2011-07-13
W3PHXNA,nurse,2025-05-18T23:19:00.297026,login_success
W3PHXNA,nurse,2025-05-18T23:19:06.490317,count_visits 2011-07-13
93HQIJF,nurse,2025-05-18T23:20:51.776635,login_success
93HQIJF,nurse,2025-05-18T23:20:58.228956,count_visits 2011-07-13
W3PHXNA,nurse,2025-05-18T23:22:29.829050,login_success
W3PHXNA,nurse,2025-05-18T23:22:36.828089,count_visits 2011-07-13
W3PHXNA,nurse,2025-05-18T23:23:24.666408,count_visits 2011-07-13
W3PHXNA,nurse,2025-05-18T23:25:01.009331,login_success
W3PHXNA,nurse,2025-05-18T23:25:07.241393,count_visits 2011-07-13
W3PHXNA,nurse,2025-05-18T23:27:57.739234,login_success
W3PHXNA,nurse,2025-05-18T23:29:47.177642,count_visits exit
W3PHXNA,nurse,2025-05-18T23:30:09.822360,login_success
W3PHXNA,nurse,2025-05-18T23:30:16.173513,count_visits 2011-07-13
W3PHXNA,nurse,2025-05-18T23:31:52.121096,login_success
W3PHXNA,nurse,2025-05-18T23:31:58.204681,count_visits 2011-07-13
W3PHXNA,nurse,2025-05-18T23:38:26.057432,login_success
W3PHXNA,nurse,2025-05-18T23:38:31.319810,count_visits 2011-07-13
W3PHXNA,nurse,2025-05-18T23:40:34.521764,login_success
